City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
yaan,100,NG,1562276270,88,7.38,8.57,76.22,9.19
sambava,83,MG,1562276271,91,-14.27,50.17,65.04,2.95
tiksi,100,RU,1562276271,89,71.64,128.87,36.75,5.08
carnarvon,64,ZA,1562276271,33,-30.97,22.13,47.03,10.13
kulhudhuffushi,99,MV,1562276272,77,6.62,73.07,83.28,11.48
ondjiva,0,AO,1562276272,26,-17.07,15.73,58.35,6.02
mehamn,75,NO,1562276272,81,71.03,27.85,48.2,5.82
kodiak,1,US,1562276273,39,39.95,-94.76,82.99,8.05
ust-ilimsk,0,RU,1562276273,54,57.96,102.73,55.14,3.74
aklavik,90,CA,1562276273,82,68.22,-135.01,57.2,12.75
vaini,99,IN,1562276274,89,15.34,74.49,78.11,7.11
tanabe,100,JP,1562276274,88,33.73,135.39,73,3.47
saskylakh,98,RU,1562276275,90,71.97,114.09,46.38,13.27
port elizabeth,1,US,1562276275,66,39.31,-74.98,87.01,9.17
mount isa,0,AU,1562276275,58,-20.73,139.49,55.4,3.36
chalmette,75,US,1562276276,59,29.94,-89.96,95,5.82
san quintin,57,PH,1562276276,88,17.54,120.52,74.89,2.64
cidreira,86,BR,1562276276,60,-30.17,-50.22,48.74,9.01
kapaa,1,US,1562276277,69,22.08,-159.32,82.99,5.82
melfort,90,CA,1562276277,55,52.87,-104.61,66.2,16.11
lufilufi,100,WS,1562276277,94,-13.87,-171.6,78.01,28.07
puerto ayora,20,EC,1562276278,54,-0.74,-90.35,80.6,21.92
staryy oskol,52,RU,1562276278,86,51.3,37.84,52.82,7.76
port blair,100,IN,1562276278,81,11.67,92.75,83.85,21.21
lompoc,1,US,1562276279,68,34.64,-120.46,78.01,18.34
provideniya,75,RU,1562276279,81,64.42,-173.23,48.2,6.71
imbituba,0,BR,1562276280,47,-28.24,-48.67,57.2,6.93
albany,75,US,1562276113,38,42.65,-73.75,93,8.05
baykit,27,RU,1562276280,64,61.68,96.39,64.11,2.19
bambanglipuro,24,ID,1562276281,87,-7.95,110.28,76.87,9.55
ahipara,0,NZ,1562276281,68,-35.17,173.16,57.29,20.04
upernavik,0,GL,1562276281,70,72.79,-56.15,43.52,10.27
castro,40,CL,1562276282,75,-42.48,-73.76,46.4,3.36
talnakh,0,RU,1562276282,81,69.49,88.39,50,24.61
avarua,49,CK,1562276209,68,-21.21,-159.78,71.6,18.34
caravelas,0,BR,1562276282,82,-17.73,-39.27,77.18,9.64
bonthe,100,SL,1562276283,89,7.53,-12.5,77.66,8.52
bailen,14,ES,1562276283,58,38.1,-3.78,75,1.99
vestmanna,100,FO,1562276283,100,62.16,-7.17,48.2,5.82
novosergiyevka,34,RU,1562276284,75,52.08,53.65,61.8,4.99
codrington,90,AU,1562276284,93,-28.95,153.24,62.6,5.68
ribeira brava,75,PT,1562276284,77,32.65,-17.07,68,14.99
shahr-e kord,0,IR,1562276285,27,32.33,50.85,64.4,4.7
burnie,46,AU,1562276285,90,-41.05,145.91,48.99,5.01
khatanga,84,RU,1562276285,79,71.98,102.47,46.72,7.96
sitka,0,US,1562276286,43,37.17,-99.65,95,15.99
belaya gora,100,RU,1562276286,86,68.54,146.19,49.92,9.35
fortuna,75,US,1562276252,87,40.6,-124.16,68,11.41
busselton,49,AU,1562276286,98,-33.64,115.35,48,27.07
tuxpan,75,MX,1562276287,48,19.56,-103.38,87.8,5.82
norman wells,90,CA,1562276287,52,65.28,-126.83,69.8,8.05
makubetsu,89,JP,1562276287,95,42.84,143.34,57.77,2.01
kangaatsiaq,100,GL,1562276288,74,68.31,-53.46,44.97,6.38
oksfjord,75,NO,1562276288,76,70.24,22.35,50,11.41
kalmunai,77,LK,1562276288,83,7.42,81.82,76.44,3.27
roald,75,NO,1562276289,76,62.58,6.12,50,3.36
lac-megantic,40,CA,1562276289,45,45.58,-70.88,87.01,6.93
eureka,90,US,1562276179,87,40.8,-124.16,68,6.93
katsuura,75,JP,1562276289,100,33.93,134.5,73,4.7
ulladulla,90,AU,1562276290,100,-35.36,150.48,53.01,9.17
fayaoue,58,NC,1562276290,76,-20.65,166.53,72.87,15.32
bartica,40,GY,1562276290,74,6.41,-58.62,84.2,11.41
new norfolk,75,AU,1562276291,93,-42.78,147.06,39.99,6.93
namatanai,100,PG,1562276291,82,-3.66,152.44,79.21,14.85
paamiut,70,GL,1562276291,79,61.99,-49.67,45.05,1.72
ponta do sol,100,BR,1562276292,67,-20.63,-46,65.76,5.35
muisne,75,EC,1562276251,83,0.61,-80.02,80.6,11.41
ust-karsk,0,RU,1562276292,74,52.71,118.82,42.89,4.34
sardulgarh,0,IN,1562276292,35,29.7,75.25,96.67,7.83
severo-kurilsk,100,RU,1562276293,98,50.68,156.12,42.35,7.9
manzhouli,100,CN,1562276293,56,49.6,117.43,50.66,15.46
sao joaquim de bicas,40,BR,1562276294,36,-20.05,-44.27,78.8,8.05
necochea,27,AR,1562276038,76,-38.55,-58.74,43,11.01
rodrigues alves,40,BR,1562276294,52,-7.74,-72.65,89.6,6.93
cape town,90,ZA,1562276288,100,-33.93,18.42,57,5.82
kytmanovo,33,RU,1562276295,84,53.46,85.45,62.51,10.38
killam,77,CA,1562276295,61,52.79,-111.86,63.6,6.58
cabo san lucas,5,MX,1562276220,29,22.89,-109.91,96.01,13.87
knysna,100,ZA,1562276296,87,-34.04,23.05,53.6,17.22
saint-pierre,0,FR,1562276296,59,48.95,4.24,68,6.93
inhambane,0,MZ,1562276296,88,-23.87,35.38,59.46,4.74
bima,12,ID,1562276297,97,-8.45,118.73,65.44,2.04
bay-khaak,100,RU,1562276297,76,51.16,94.47,58.65,1.72
chokurdakh,84,RU,1562276297,70,70.62,147.9,49.71,7.87
east london,0,ZA,1562276298,77,-33.02,27.91,51.17,3.47
cabedelo,40,BR,1562276298,88,-6.97,-34.84,78.8,5.82
butaritari,0,KI,1562276298,69,3.07,172.79,84.02,7.09
nehe,72,CN,1562276299,95,48.48,124.88,62.02,8.86
sao jose da coroa grande,0,BR,1562276299,93,-8.9,-35.15,73.74,4.43
barrow,84,AR,1562276300,74,-38.31,-60.23,40.17,12.64
vao,64,EE,1562276300,92,59.1,26.19,46.59,6.02
ust-omchug,100,RU,1562276300,80,61.13,149.63,49.31,10.11
rio grande,0,BR,1562276203,57,-32.03,-52.1,48.2,8.05
beringovskiy,7,RU,1562276301,58,63.05,179.32,61.52,5.19
biak,100,ID,1562276301,98,-0.91,122.88,63.3,3.6
ruteng,69,ID,1562276301,92,-8.61,120.46,68.93,4.94
novyy urengoy,100,RU,1562276302,57,66.08,76.63,70.52,9.44
esperance,75,AU,1562276302,100,-33.86,121.89,50,11.41
cape coast,100,GH,1562276302,90,5.11,-1.24,76.2,11.07
sao joao da barra,40,BR,1562276303,88,-21.64,-41.05,77,16.11
awbari,0,LY,1562276303,10,26.59,12.77,93.23,11.21
itoman,75,JP,1562276071,94,26.12,127.67,80.6,17.22
bruhl,0,DE,1562276303,48,50.83,6.91,70,2.24
leningradskiy,100,RU,1562276304,97,69.38,178.42,35.83,2.68
hilo,90,US,1562276242,69,19.71,-155.08,80.6,3.36
kahului,40,US,1562276072,49,20.89,-156.47,89.6,9.17
pangnirtung,75,CA,1562276305,70,66.15,-65.72,48.2,14.99
alofi,75,NU,1562276305,73,-19.06,-169.92,77,18.34
faanui,99,PF,1562276306,77,-16.48,-151.75,75.84,29.46
pacific grove,75,US,1562276306,67,36.62,-121.92,84.99,13.87
muroto,75,JP,1562276307,88,33.37,134.14,71.6,6.93
olenegorsk,100,RU,1562276307,83,68.14,33.28,53.29,3.91
merrill,1,US,1562276307,23,42.03,-121.6,78.01,3.36
port alfred,42,ZA,1562276273,77,-33.59,26.89,57.99,3
paka,100,CF,1562276308,97,4.15,15.03,68.59,2.15
egvekinot,93,RU,1562276309,83,66.32,-179.17,47.48,15.97
vila franca do campo,75,PT,1562276306,93,37.72,-25.43,64.4,4.7
lundazi,0,ZM,1562276309,67,-12.29,33.17,57.79,6.53
atuona,8,PF,1562276309,71,-9.8,-139.03,80.31,10.63
gunjur,0,GM,1562276310,83,13.18,-16.76,80.6,9.17
poitiers,0,FR,1562276267,41,46.58,0.34,77,8.05
geraldton,90,CA,1562276311,100,49.72,-86.95,69.8,5.82
san vicente,90,EC,1562276311,83,-0.59,-80.41,75.2,16.11
saint-philippe,1,CA,1562276311,29,45.36,-73.48,93.2,6.93
takoradi,100,GH,1562276312,92,4.89,-1.75,74.71,4.43
acapulco,75,MX,1562276162,70,16.86,-99.88,87.8,8.05
samarai,86,PG,1562276312,91,-10.62,150.67,71.92,4.47
mitha tiwana,0,PK,1562276313,18,32.24,72.11,95.77,5.44
escanaba,1,US,1562276313,65,45.75,-87.06,84,10.29
thompson,75,CA,1562276313,76,55.74,-97.86,57.2,13.87
arraial do cabo,40,BR,1562276276,88,-22.97,-42.02,71.6,5.82
suntar,100,RU,1562276314,96,62.16,117.65,57.93,0.54
naugachhia,25,IN,1562276314,67,25.4,87.1,85.83,8.59
komsomolskiy,0,RU,1562276314,67,67.55,63.78,67.19,9.78
saint george,20,GR,1562276315,53,39.45,22.34,77,4.23
buchmany,0,UA,1562276315,83,51.07,28.04,50.43,5.28
bredasdorp,100,ZA,1562276315,93,-34.53,20.04,55.4,9.17
axim,100,GH,1562276316,88,4.87,-2.24,76.98,9.95
alihe,100,CN,1562276316,90,50.57,123.73,50.37,5.59
henties bay,0,NA,1562276316,89,-22.12,14.28,55,3
yelizovo,90,RU,1562276073,100,53.19,158.38,48.2,4.47
katrineholm,16,SE,1562276317,81,59,16.21,50,13.87
toyota,75,JP,1562276317,83,35.15,137.3,78.01,3.36
mar del plata,0,AR,1562276317,71,-46.43,-67.52,32.05,5.97
banda aceh,100,ID,1562276249,77,5.56,95.32,83.69,10.45
evensk,100,RU,1562276318,89,61.92,159.24,49.58,3.65
marsh harbour,100,BS,1562276121,69,26.54,-77.06,84.95,7.74
solnechnyy,0,RU,1562276319,77,50.72,136.64,65.06,1.03
serafimovich,0,RU,1562276319,60,49.58,42.73,59.91,6.62
kloulklubed,100,PW,1562276319,77,7.04,134.26,82.65,11.99
halstenbek,20,DE,1562276320,63,53.63,9.85,64,12.75
tevriz,18,RU,1562276320,98,57.51,72.4,53.92,3.15
constitucion,75,MX,1562276320,27,23.99,-104.67,79,12.75
qaanaaq,100,GL,1562276321,64,77.48,-69.36,42.44,3.51
makamba,0,BI,1562276321,61,-4.13,29.8,67.69,4.41
dikson,74,RU,1562276321,90,73.51,80.55,35.79,12.82
portland,40,US,1562276285,42,43.66,-70.25,91,8.05
namibe,0,AO,1562276322,76,-15.19,12.15,69.94,7.4
dowa,35,CN,1562276322,95,31,94.93,37.41,3.76
wajid,57,SO,1562276322,62,3.81,43.25,79.08,20.87
shimabara,75,JP,1562276323,94,32.79,130.33,73,2.24
isangel,20,VU,1562276323,88,-19.55,169.27,73.4,9.42
saint michael,75,US,1562276323,78,45.21,-93.67,86,8.03
abnub,0,EG,1562276324,31,27.27,31.15,87.8,12.75
paralimni,89,GR,1562276324,72,40.99,23.67,82,5.01
hofn,81,IS,1562276325,88,64.25,-15.21,36.39,0.04
nieuwpoort,100,BE,1562276325,77,51.13,2.75,64.4,1.12
sayyan,55,YE,1562276325,57,15.17,44.32,73.07,5.08
nadym,100,RU,1562276325,90,65.53,72.51,66.41,7.81
kodinsk,0,RU,1562276326,51,58.6,99.18,56.98,2.01
derbent,0,RU,1562276326,45,42.06,48.29,71.16,6.91
karlskrona,100,SE,1562276327,100,56.16,15.59,53.6,11.41
georgetown,40,GY,1562276297,70,6.8,-58.16,84.2,11.41
richards bay,0,ZA,1562276327,59,-28.77,32.06,68.19,4.79
eufaula,20,US,1562276248,100,31.89,-85.15,84.99,8.05
atar,10,MR,1562276328,9,20.52,-13.05,104.55,17.07
port hardy,90,CA,1562276328,77,50.7,-127.42,59,6.93
mathathane,0,BW,1562276329,65,-22.27,28.75,51.06,3.74
campo verde,25,PE,1562276329,41,-8.47,-74.81,92.03,2.44
yar-sale,94,RU,1562276329,77,66.83,70.83,65.94,7.2
poum,20,MK,1562276330,53,41.28,20.71,75.2,8.05
siverek,0,TR,1562276330,34,37.75,39.32,82.4,13.87
torbay,90,CA,1562276330,93,47.66,-52.73,55.4,5.82
faya,0,SA,1562276331,68,18.39,42.45,71.6,3.36
yeniseysk,100,RU,1562276331,68,58.45,92.17,63.98,3.31
ventspils,90,LV,1562276331,93,57.39,21.56,57.2,18.34
nanortalik,0,GL,1562276332,65,60.14,-45.24,46.81,7.67
asasa,66,ET,1562276332,88,7.1,39.2,50.9,2.06
kaiyuan,74,CN,1562276332,63,42.54,124.04,73.41,12.48
vestmannaeyjar,6,IS,1562276333,86,63.44,-20.27,51.6,14.94
broken hill,0,AU,1562276333,87,-31.97,141.45,46.4,11.41
ketchikan,75,US,1562276333,68,55.34,-131.65,73.4,16.11
srandakan,24,ID,1562276334,87,-7.94,110.25,76.87,9.55
ban nahin,100,LA,1562276334,99,18.24,104.21,71.99,4.07
saldanha,42,PT,1562276334,54,41.42,-6.55,70.16,2.91
jacmel,75,HT,1562276335,52,18.24,-72.54,87.8,20.8
tual,50,ID,1562276335,82,-5.67,132.75,77.21,16.06
kaitangata,85,NZ,1562276335,80,-46.28,169.85,43,3
souillac,0,FR,1562276336,54,45.6,-0.6,84,6.93
orumiyeh,0,IR,1562276336,42,37.55,45.08,68,9.17
san andres,71,PH,1562276336,88,13.32,122.68,74.66,0.31
fallon,40,US,1562276336,49,46.84,-105.12,73.4,3.36
bethel,90,US,1562276078,82,60.79,-161.76,57.2,3.36
nikolskoye,0,RU,1562276337,71,59.7,30.79,50,4.47
strezhevoy,20,RU,1562276337,93,60.73,77.6,66.2,4.47
uvat,14,RU,1562276338,91,59.14,68.9,55.54,1.21
qasigiannguit,40,GL,1562276338,70,68.82,-51.19,53.6,4.7
lorengau,99,PG,1562276339,83,-2.02,147.27,77.97,3.76
los llanos de aridane,90,ES,1562276339,73,28.66,-17.92,71.6,9.17
margate,75,AU,1562276339,93,-43.03,147.26,39.99,6.93
port macquarie,75,AU,1562276340,100,-31.43,152.91,57,3.36
mahebourg,40,MU,1562276273,78,-20.41,57.7,71.6,8.05
dhidhdhoo,84,MV,1562276340,77,6.88,73.1,83.42,12.21
airai,0,TL,1562276340,76,-8.93,125.41,64.2,5.03
sal rei,40,CV,1562276341,78,16.18,-22.92,75.2,18.34
vila velha,0,BR,1562276322,78,-3.71,-38.6,86,11.41
misratah,0,LY,1562276341,71,32.38,15.09,78.67,8.21
luderitz,0,NA,1562276342,87,-26.65,15.16,55.4,17.22
noumea,0,NC,1562276342,88,-22.28,166.46,68,12.01
moen,100,BE,1562276343,72,50.77,3.4,64.99,4.7
westport,1,US,1562276343,62,41.14,-73.36,90,8.05
moranbah,100,AU,1562276343,91,-22,148.04,58.78,28.88
tasiilaq,3,GL,1562276344,70,65.61,-37.64,46.4,11.41
dzhebariki-khaya,21,RU,1562276344,70,62.22,135.8,53.96,4.16
dolores hidalgo,75,MX,1562276217,88,21.16,-100.93,79,5.82
sao felix do xingu,49,BR,1562276109,70,-6.64,-51.99,80.79,2.77
camacha,75,PT,1562276345,77,33.08,-16.33,68,11.41
dolores,0,UY,1562276345,63,-33.53,-58.22,46.99,10
lyngseidet,75,NO,1562276345,87,69.58,20.21,46.4,25.28
lebu,20,ET,1562276346,87,8.96,38.73,57.2,6.93
chaoyang,91,CN,1562276346,48,41.58,120.44,68.45,4.29
comodoro rivadavia,20,AR,1562276346,64,-45.87,-67.48,37.4,9.17
clyde river,90,CA,1562276347,93,70.47,-68.59,37.4,8.05
pevek,100,RU,1562276347,93,69.7,170.27,35.06,11.63
santa marinella,0,IT,1562276348,94,42.04,11.87,78.01,2.24
ribeira grande,20,PT,1562276348,68,38.52,-28.7,69.8,11.41
yulara,0,AU,1562276349,56,-25.24,130.99,42.8,5.82
gizo,0,IL,1562276349,69,31.8,34.94,79,2.24
hasaki,75,JP,1562276349,94,35.73,140.83,68,4.7
mazarron,75,ES,1562276349,88,37.6,-1.31,77,6.93
qena,0,EG,1562276350,21,26.16,32.72,93.2,4.7
hami,0,CN,1562276350,27,42.84,93.51,79.77,21.16
harnosand,100,SE,1562276350,93,62.63,17.94,50,4.7
bembereke,81,BJ,1562276351,84,10.23,2.66,76.15,5.06
hambantota,20,LK,1562276351,100,6.12,81.12,78.8,4.7
sainte-suzanne,0,CH,1562276352,68,47.51,6.77,71.01,3.36
chuy,15,UY,1562276352,67,-33.69,-53.46,44.87,18.39
chichester,0,GB,1562276060,59,50.84,-0.78,69.01,4.7
cap-aux-meules,20,CA,1562276353,55,47.38,-61.86,64.4,2.24
saint-augustin,75,CA,1562276353,45,45.63,-73.98,93,4.7
ostrovnoy,100,RU,1562276353,96,68.05,39.51,49.17,10.49
solano,82,CO,1562276354,58,0.7,-75.25,86.86,3.38
skibbereen,20,IE,1562276354,63,51.55,-9.27,60.8,10.29
sumbe,28,AO,1562276354,90,-11.2,13.84,70.95,10.2
daru,76,PG,1562276355,87,-9.07,143.21,73.29,5.7
roma,0,IT,1562276332,69,41.89,12.48,75.99,3.36
taquaritinga,90,BR,1562276355,53,-21.41,-48.51,77,18.34
monrovia,75,LR,1562276356,94,6.33,-10.8,77,13.31
batagay-alyta,95,RU,1562276356,69,67.8,130.41,42.85,3.76
kadyy,100,RU,1562276356,97,57.79,43.19,49.85,13.13
zaragoza,0,SV,1562276357,35,13.59,-89.29,91.4,10.29
port augusta,0,AU,1562276357,100,-32.49,137.76,46,5.82
lata,64,IN,1562276358,91,30.78,78.62,46.92,0.89
coahuayana,100,MX,1562276349,57,18.62,-100.35,89.78,1.25
santa cruz cabralia,20,BR,1562276358,78,-16.28,-39.02,78.8,9.17
hereford,100,GB,1562276158,71,52.06,-2.72,68,3.87
adrar,0,DZ,1562276359,11,27.87,-0.29,105.8,12.75
half moon bay,75,US,1562276360,93,37.46,-122.43,81,5.82
monte mor,90,BR,1562276360,100,-22.95,-47.31,70,4.7
olga,1,US,1562276360,57,34.11,-118.17,82.99,4.7
cravinhos,90,BR,1562276360,88,-21.34,-47.73,77,5.82
laguna,20,BZ,1562276361,52,16.17,-88.94,91.4,4.7
ponte de sor,11,PT,1562276343,72,39.25,-8.01,70,6.13
dingle,72,PH,1562276361,85,11,122.67,74.64,2.89
eidsvag,75,NO,1562276362,81,62.78,8.07,48.2,14.99
marzuq,96,YE,1562276362,31,14.4,46.47,81.23,6.85
bambous virieux,40,MU,1562276362,78,-20.34,57.76,71.6,8.05
vostok,61,RU,1562276363,95,46.45,135.83,58.92,1.61
bathsheba,75,BB,1562276363,88,13.22,-59.52,80.6,21.92
magadi,40,IN,1562276364,100,12.96,77.22,71.6,13.87
vohibinany,14,MG,1562276364,98,-17.35,49.03,59.37,3.65
pampa,1,US,1562276364,22,35.54,-100.96,98.6,19.46
novoseleznevo,0,RU,1562276365,96,55.68,69.21,53.4,8.48
waipawa,100,NZ,1562276365,96,-39.94,176.59,43,8.99
kieta,56,PG,1562276365,79,-6.22,155.63,79.39,5.75
klyuchi,100,RU,1562276365,72,52.25,79.17,63.21,5.7
kununurra,0,AU,1562276366,40,-15.77,128.74,60.8,8.05
yeppoon,40,AU,1562276366,87,-23.13,150.74,60.8,10.29
cayenne,20,GF,1562276367,78,4.94,-52.33,82.4,9.17
san-pedro,100,CI,1562276368,95,4.75,-6.64,71.97,3.71
ilulissat,40,GL,1562276368,65,69.22,-51.1,53.6,4.7
najran,0,SA,1562276368,17,17.54,44.22,86,8.59
manono,0,CD,1562276369,39,-7.3,27.4,70.95,3.85
evanston,40,US,1562276369,49,42.04,-87.69,93,6.93
bouca,100,CF,1562276370,97,6.51,18.28,71.02,2.01
udachnyy,75,RU,1562276370,87,66.42,112.4,57.2,6.71
port hedland,90,AU,1562276370,87,-20.31,118.58,60.8,4.7
ukiah,1,US,1562276370,21,39.15,-123.21,91.4,5.82
san joaquin,100,PH,1562276371,86,10.59,122.14,75.9,2.21
waiuku,100,NZ,1562276372,87,-37.25,174.73,53.01,9.17
riyadh,0,SA,1562276372,8,24.63,46.72,95,8.05
tuktoyaktuk,90,CA,1562276372,81,69.44,-133.03,50,16.11
praia da vitoria,75,PT,1562276373,93,38.73,-27.07,69.01,7.34
quelimane,0,MZ,1562276373,88,-17.88,36.89,66.2,3.36
santa marta,75,CO,1562276374,39,11.24,-74.21,96.8,16.11
chapais,40,CA,1562276374,40,49.78,-74.86,86,3.36
hervey bay,40,AU,1562276374,77,-25.3,152.85,63,9.17
crib point,0,AU,1562276375,96,-38.35,145.2,45,9.1
saint anthony,1,US,1562276375,25,43.97,-111.68,75,12.75
husavik,68,CA,1562276375,25,50.56,-96.99,80.01,6.82
ca mau,100,VN,1562276239,95,9.18,105.15,76.56,2.77
great yarmouth,100,GB,1562276187,59,52.61,1.73,66.2,3.36
bermeo,20,ES,1562276377,78,43.42,-2.72,79,4.7
hithadhoo,71,MV,1562276377,80,-0.6,73.08,83.39,12.88
kawalu,100,ID,1562276377,97,-7.38,108.21,68.66,2.55
shirokiy,0,RU,1562276378,52,53.87,39.17,52,3
dunedin,99,NZ,1562276379,67,-45.87,170.5,46,23
ikom,100,NG,1562276379,98,5.96,8.72,74.03,4.54
nishihara,90,JP,1562276380,100,35.74,139.53,73,5.5
yerbogachen,0,RU,1562276380,61,61.28,108.01,59.68,8.79
carutapera,72,BR,1562276380,82,-1.2,-46.02,79.55,6.98
kassala,90,SD,1562276381,26,15.45,36.38,94.92,10.16
innisfail,95,AU,1562276381,99,-17.52,146.03,60.01,1.01
palana,0,RU,1562276381,84,59.08,159.95,47.93,11.5
oyama,75,JP,1562276382,88,36.31,139.8,73,6.93
buchanan,75,LR,1562276382,94,5.88,-10.05,77,17.81
te anau,65,NZ,1562276382,79,-45.41,167.72,36.68,2.33
port pirie,0,AU,1562276383,100,-33.18,138.01,35.6,5.82
ternate,40,PH,1562276383,78,14.29,120.72,82.4,4.7
bucerias,40,MX,1562276323,40,20.76,-105.33,89.6,13.87
hailar,100,CN,1562276383,90,49.2,119.7,51.22,17.16
san felipe,0,CL,1562276323,85,-32.75,-70.73,57.99,2.01
santa isabel do rio negro,100,BR,1562276384,95,-0.41,-65.02,78.54,2.15
miles city,1,US,1562276384,46,46.41,-105.84,78.01,4.7
buala,14,SB,1562276385,81,-8.15,159.59,79.97,8.34
punta de piedra,0,VE,1562276385,70,7.62,-71.49,84.86,2.37
lavrentiya,99,RU,1562276385,68,65.58,-170.99,56.76,11.48
vallenar,0,CL,1562276386,40,-28.58,-70.76,65.49,5.68
brownwood,40,US,1562276228,43,31.71,-98.99,95,14.99
phalaborwa,0,ZA,1562276386,41,-23.95,31.14,59,3.36
ngunguru,0,NZ,1562276386,96,-35.62,174.5,51.01,5.01
lichuan,90,CN,1562276387,99,30.3,108.94,63.15,0.87
namie,75,JP,1562276387,82,37.52,140.86,70,5.82
auki,100,NG,1562276387,79,12.18,6.51,78.74,5.66
maniitsoq,99,GL,1562276388,79,65.42,-52.9,42.94,9.22
kirovskiy,29,RU,1562276388,96,45.09,133.51,57.66,4.94
ostersund,75,SE,1562276388,87,63.18,14.64,46.4,11.41
gorontalo,85,ID,1562276225,93,0.54,123.06,71.65,2.44
humberto de campos,40,BR,1562276389,78,-2.6,-43.46,78.44,6.91
artyom,90,RU,1562276389,100,43.36,132.19,59,4.47
inuvik,90,CA,1562276390,76,68.36,-133.71,57.2,12.75
mataram,4,ID,1562276390,98,-5.32,105.06,70.14,1.63
hermon,0,AM,1562276390,71,39.88,45.43,54.93,14.56
fare,100,PF,1562276391,75,-16.7,-151.02,75.25,29.57
narsaq,75,GL,1562276391,33,60.91,-46.05,62.6,5.82
kingman,1,US,1562276125,8,35.19,-114.05,104,23.04
meylan,0,FR,1562276391,73,45.21,5.78,73,3.36
lasalgaon,93,IN,1562276392,84,20.14,74.24,74.53,17.22
nandu,100,CN,1562276392,88,31.44,119.33,73.4,2.24
sola,66,TZ,1562276392,41,-3.17,33.8,73.07,4.56
nouadhibou,0,MR,1562276393,73,20.93,-17.03,69.8,19.46
college,90,US,1562276393,59,64.86,-147.8,66.99,6.93
sokolka,0,RU,1562276394,84,52.46,43.89,51.22,6.31
farafangana,21,MG,1562276394,86,-22.82,47.83,61.32,3
worthington,40,US,1562276350,54,43.62,-95.6,84.99,3.36
worland,1,US,1562276395,44,44.02,-107.96,78.8,5.82
papara,0,BR,1562276395,78,-3.98,-38.73,86,11.41
palmer,0,AU,1562276395,93,-34.85,139.16,55.99,2.24
victoria,75,BN,1562276396,94,5.28,115.24,78.01,7.29
ambon,0,FR,1562276396,72,47.55,-2.56,73.4,11.41
manggar,26,ID,1562276397,95,-2.88,108.27,76.01,2.73
abalak,51,NE,1562276397,40,15.46,6.28,89.9,14.47
de aar,0,ZA,1562276398,29,-30.65,24.01,45.82,4
hvide sande,100,DK,1562276398,93,56.01,8.13,55.99,16.11
batagay,76,RU,1562276398,56,67.65,134.64,52.07,1.23
chicama,20,PE,1562276398,77,-7.84,-79.15,66.2,12.75
kavaratti,100,IN,1562276399,79,10.57,72.64,83.3,19.1
marienburg,0,DE,1562276399,59,52.12,9.98,66.99,3.36
faranah,100,GN,1562276399,93,10.04,-10.74,73.77,4.41
gualaquiza,78,EC,1562276400,88,-3.4,-78.58,57,6.29
lasa,0,CY,1562276400,83,34.92,32.53,77,5.82
calabozo,16,VE,1562276400,83,8.92,-67.43,84.3,3.96
quatre cocos,40,MU,1562276401,78,-20.21,57.76,71.6,8.05
hagenow,100,DE,1562276401,76,53.43,11.19,64.99,11.01
macon,1,US,1562276401,69,32.84,-83.63,86,6.93
togur,100,RU,1562276402,94,58.36,82.83,62.25,5.88
